DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2025
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Total"
"260300 CABROBO";1;-;1;1;3;1;1;-;-;-;1;2;-;-;-;-;2;1;-;-;1;2;-;-;-;-;-;-;-;1;-;-;-;18
"260310 CACHOEIRINHA";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"260320 CAETES";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"260330 CALCADO";-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"260345 CAMARAGIBE";2;-;2;-;1;1;2;3;3;2;1;-;1;-;-;-;-;-;-;-;1;-;1;-;3;-;1;-;-;-;2;-;-;26
"260350 CAMOCIM DE SAO FELIX";-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"260360 CAMUTANGA";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;5
"260390 CARNAIBA";-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;7
"260400 CARPINA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;3
"260410 CARUARU";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"260415 CASINHAS";-;-;3;1;3;2;2;3;1;2;5;5;6;4;3;4;3;4;11;10;8;9;3;3;6;2;2;2;1;3;-;1;-;112
"260420 CATENDE";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;3
"260430 CEDRO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;2;-;-;-;-;6
"260450 CHA GRANDE";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"260460 CONDADO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;2
"260470 CORRENTES";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"260490 CUMARU";1;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"260500 CUPIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;4
"260520 ESCADA";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;3
"260530 EXU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;5;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;13
"260540 FEIRA NOVA";-;-;-;-;-;1;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;-;8
"260545 FERNANDO DE NORONHA";1;-;-;-;-;-;-;-;-;-;-;2;2;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;8
"260560 FLORES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2
"260570 FLORESTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"260600 GARANHUNS";-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;4
"260610 GLORIA DO GOITA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"260620 GOIANA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"260660 IBIMIRIM";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"260680 IGARASSU";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;4
"260690 IGUARACY";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"260700 INAJA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;1;1;1;1;7
"260720 IPOJUCA";-;-;-;-;1;-;-;1;-;-;1;1;1;1;1;1;5;2;2;-;2;-;-;2;3;3;5;3;2;13;37;22;-;109
"260740 ITACURUBA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"260750 ITAIBA";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;1;-;-;2;-;1;-;-;-;-;-;-;-;-;7
"260760 ILHA DE ITAMARACA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"260775 ITAPISSUMA";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;1;3;-;-;9
"260790 JABOATAO DOS GUARARAPES";-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;1;-;1;-;-;-;-;1;-;1;-;2;6;5;1;22
"260795 JAQUEIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2
"260800 JATAUBA";-;-;-;-;-;1;-;-;-;-;-;2;-;1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"260805 JATOBA";-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;6
"260820 JOAQUIM NABUCO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2
"260830 JUPI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"260840 JUREMA";-;1;-;-;1;2;2;-;-;-;1;-;-;-;-;-;-;2;1;-;-;2;1;-;-;-;-;-;-;-;-;-;-;13
"260850 LAGOA DE ITAENGA";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"260860 LAGOA DO OURO";-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;4
"260870 LAGOA DOS GATOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"260890 LIMOEIRO";-;1;-;1;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;2;-;-;-;-;1;1;-;-;-;-;3;-;-;12
"260900 MACAPARANA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2
"260920 MARAIAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;3
"260940 MORENO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;1;-;1;-;-;-;-;-;-;-;-;5
"260950 NAZARE DA MATA";1;2;-;-;-;-;5;1;2;6;3;3;4;-;1;-;-;-;2;-;-;-;-;1;-;1;1;2;-;-;-;-;-;35
"260960 OLINDA";1;3;-;5;7;7;14;9;1;1;-;1;1;1;1;1;1;1;2;-;2;-;3;6;3;10;15;6;3;3;4;3;-;115
"260980 OROCO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;3
"260990 OURICURI";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;4;1;-;2;4;-;2;-;-;1;-;18
"261000 PALMARES";-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;1;1;1;2;1;1;-;1;2;1;2;4;1;5;3;4;5;-;37
"261020 PANELAS";1;-;-;1;1;1;-;5;-;2;-;1;1;-;1;-;1;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
"261040 PARNAMIRIM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"261060 PAUDALHO";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"261070 PAULISTA";-;1;-;-;1;-;-;3;3;-;2;1;-;-;2;-;1;2;-;-;1;-;-;5;1;1;-;4;1;1;1;1;-;32
"261090 PESQUEIRA";-;-;-;1;-;2;-;-;1;-;2;1;1;-;3;1;2;-;3;-;-;3;-;-;-;-;-;1;-;-;-;2;-;23
"261100 PETROLANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2
"261110 PETROLINA";-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"261120 POCAO";-;-;11;13;24;16;35;45;29;27;73;78;49;86;41;74;70;32;20;13;7;5;8;4;3;-;-;1;-;-;-;-;-;764
"261130 POMBOS";-;-;-;-;-;-;-;-;-;-;1;1;1;1;2;-;1;-;1;1;1;2;1;-;-;1;3;-;-;-;-;-;-;17
"261140 PRIMAVERA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"261160 RECIFE";3;-;2;-;2;1;4;3;2;7;2;5;3;5;1;5;3;7;7;4;3;8;2;9;9;9;9;13;8;11;11;16;5;179
"261170 RIACHO DAS ALMAS";-;-;-;-;4;9;3;10;3;2;1;1;8;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;2;-;-;-;48
"261180 RIBEIRAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;4
"261190 RIO FORMOSO";-;-;-;-;-;1;-;1;-;-;-;-;2;-;10;5;4;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;26
"261210 SALGADINHO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"261220 SALGUEIRO";-;1;-;-;-;5;7;5;1;1;1;-;3;2;3;4;2;1;1;6;6;3;4;1;2;2;-;-;1;-;-;2;1;65
"261240 SANHARO";-;1;-;-;1;2;-;-;-;-;-;1;-;-;1;1;1;2;-;1;1;2;-;-;1;1;-;-;-;-;1;-;-;17
"261247 SANTA CRUZ DA BAIXA VERDE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;7
"261250 SANTA CRUZ DO CAPIBARIBE";-;-;-;-;-;-;1;-;-;-;1;3;-;3;1;-;1;-;-;-;-;-;2;-;1;1;1;-;-;1;1;-;-;17
"261260 SANTA MARIA DA BOA VISTA";-;-;1;2;-;1;1;1;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;1;-;-;-;1;3;3;1;-;-;18
"261300 SAO BENTO DO UNA";-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"261310 SAO CAITANO";2;-;-;-;-;1;-;-;-;-;3;1;2;4;3;-;1;-;1;1;2;4;2;2;4;5;5;1;7;5;5;6;-;67
"261320 SAO JOAO";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"261330 SAO JOAQUIM DO MONTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;1;-;4
"261340 SAO JOSE DA COROA GRANDE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;1;-;-;-;5
"261350 SAO JOSE DO BELMONTE";-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;8
"261370 SAO LOURENCO DA MATA";4;4;9;5;15;12;26;13;5;9;18;6;15;7;-;1;1;2;1;-;2;-;2;1;3;-;-;2;4;-;-;1;-;168
"261380 SAO VICENTE FERRER";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;1;-;-;-;-;-;-;5
"261390 SERRA TALHADA";1;-;2;-;1;2;1;1;-;1;3;1;-;1;-;3;3;3;1;3;-;2;1;-;-;-;-;-;-;1;-;2;-;33
"261400 SERRITA";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"261420 SIRINHAEM";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;4
"261440 SOLIDAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4;2;2;3;-;12
"261450 SURUBIM";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"261460 TABIRA";-;-;-;1;-;-;-;5;1;1;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;12
"261470 TACAIMBO";1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"261480 TACARATU";-;-;-;-;-;1;2;3;2;1;2;1;2;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"261485 TAMANDARE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2;6;-;-;3;-;-;-;-;13
"261500 TAQUARITINGA DO NORTE";-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;4
"261510 TEREZINHA";-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"261520 TERRA NOVA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;1;2;2;1;1;1;-;1;1;13
"261530 TIMBAUBA";-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"261550 TRACUNHAEM";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"261570 TRIUNFO";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"261610 VERDEJANTE";-;-;-;-;-;-;1;-;1;1;-;2;1;2;1;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;12
"261620 VERTENTES";2;4;1;2;4;2;3;2;-;1;-;1;-;1;-;-;1;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;27
"261630 VICENCIA";-;-;-;-;3;4;-;1;1;-;1;-;2;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;15
"261640 VITORIA DE SANTO ANTAO";-;-;-;1;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;4;-;1;-;-;1;2;1;-;-;15
"261650 XEXEU";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;6
"270010 AGUA BRANCA";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"270020 ANADIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"270030 ARAPIRACA";4;7;10;10;7;5;6;6;2;6;10;9;5;7;7;13;12;6;9;12;9;4;7;7;3;14;19;18;10;7;2;1;-;254
"270040 ATALAIA";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2
"270050 BARRA DE SANTO ANTONIO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;4
"270060 BARRA DE SAO MIGUEL";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"270070 BATALHA";1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;1;-;-;-;-;7
"270080 BELEM";2;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"270090 BELO MONTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"270100 BOCA DA MATA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"270110 BRANQUINHA";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;1;-;4;3;-;1;-;-;-;1;-;-;-;-;13
"270120 CACIMBINHAS";1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"270135 CAMPESTRE";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"270140 CAMPO ALEGRE";-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;1;1;-;1;-;1;1;-;-;-;-;1;-;-;-;9
"270170 CAPELA";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"270180 CARNEIROS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;2;-;-;4
"270200 COITE DO NOIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"270210 COLONIA LEOPOLDINA";1;-;1;1;-;3;2;-;1;1;-;-;-;-;-;6;5;10;3;1;1;1;5;2;-;-;-;-;1;1;2;2;1;51
"270230 CORURIPE";-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;2;2;1;-;-;-;1;5;17
"270235 CRAIBAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"270240 DELMIRO GOUVEIA";3;1;3;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;11
"270250 DOIS RIACHOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"270255 ESTRELA DE ALAGOAS";3;3;2;1;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"270260 FEIRA GRANDE";-;-;-;1;-;1;1;-;-;-;1;2;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;9
"270280 FLEXEIRAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;2
"270290 GIRAU DO PONCIANO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"270300 IBATEGUARA";-;-;1;-;-;6;9;23;16;6;4;8;11;4;4;5;18;3;3;10;2;3;-;2;-;-;-;-;-;1;-;-;1;140
"270320 IGREJA NOVA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"270330 INHAPI";-;-;1;-;-;2;3;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"270360 JAPARATINGA";-;2;1;1;1;1;-;-;-;-;-;-;-;-;-;2;1;-;-;-;1;1;1;-;-;-;2;1;2;-;1;-;-;18
"270375 JEQUIA DA PRAIA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2
"270380 JOAQUIM GOMES";-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;-;1;2;2;1;-;7;3;1;-;-;-;-;-;-;1;-;-;23
"270390 JUNDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;5;1;-;-;1;-;-;1;-;-;-;10
"270400 JUNQUEIRO";-;-;1;-;-;-;-;1;-;-;-;-;-;1;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;6
"270420 LIMOEIRO DE ANADIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"270430 MACEIO";21;25;7;7;18;29;27;19;18;28;35;31;26;26;28;26;44;34;35;37;36;53;50;70;57;72;79;80;67;69;50;46;19;1269
"270440 MAJOR ISIDORO";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;3
"270450 MARAGOGI";7;13;5;-;-;-;-;1;-;-;-;-;5;1;-;1;3;3;6;4;3;3;7;3;3;15;15;9;14;5;8;8;-;142
"270460 MARAVILHA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"270470 MARECHAL DEODORO";-;-;-;-;-;5;2;2;1;-;-;2;3;4;2;4;1;3;1;-;1;1;2;4;3;3;1;1;4;-;-;-;-;50
"270480 MARIBONDO";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"270500 MATA GRANDE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;2
"270510 MATRIZ DE CAMARAGIBE";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;4;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;8
"270520 MESSIAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"270530 MINADOR DO NEGRAO";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"270540 MONTEIROPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"270550 MURICI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;4
"270560 NOVO LINO";-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;5
"270570 OLHO D'AGUA DAS FLORES";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;4
"270580 OLHO D'AGUA DO CASADO";-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"270590 OLHO D'AGUA GRANDE";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"270600 OLIVENCA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;4
"270620 PALESTINA";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"270630 PALMEIRA DOS INDIOS";4;2;6;7;14;4;5;1;4;2;2;1;4;-;-;-;1;-;3;1;-;-;-;4;-;-;4;-;-;3;-;-;-;72
"270640 PAO DE ACUCAR";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"270644 PARIPUEIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;3;-;-;1;4;2;3;1;-;-;-;-;16
"270650 PASSO DE CAMARAGIBE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;6;1;-;-;-;-;-;8
"270670 PENEDO";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;2;6
"270690 PILAR";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2;1;1;1;-;-;-;-;-;1;1;-;1;1;-;-;1;-;12
"270710 PIRANHAS";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"270720 POCO DAS TRINCHEIRAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"270730 PORTO CALVO";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"270740 PORTO DE PEDRAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;2;-;-;-;-;7
"270760 QUEBRANGULO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2
