DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2025
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Total"
"110110 ITAPUA DO OESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"110120 MINISTRO ANDREAZZA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110130 MIRANTE DA SERRA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110143 NOVA UNIAO";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110145 PARECIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;5
"110146 PIMENTEIRAS DO OESTE";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110149 SAO FRANCISCO DO GUAPORE";-;-;-;1;1;1;-;-;-;-;-;-;-;5;4;2;1;1;-;1;-;-;5;-;-;-;1;-;1;3;-;-;-;27
"110155 TEIXEIROPOLIS";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110170 URUPA";-;-;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;6
"110175 VALE DO ANARI";-;1;1;-;-;-;5;1;2;1;-;1;2;-;3;2;-;3;3;3;3;9;9;3;2;1;-;-;-;-;-;3;-;58
"120001 ACRELANDIA";1;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"120005 ASSIS BRASIL";-;-;-;-;3;6;4;4;5;5;6;2;1;3;1;2;1;1;3;2;1;2;-;-;-;-;2;-;-;-;1;-;-;55
"120010 BRASILEIA";-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;5
"120013 BUJARI";-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"120020 CRUZEIRO DO SUL";40;6;38;50;77;91;52;33;10;46;4;8;2;3;-;1;1;7;2;-;-;3;2;1;1;-;3;8;1;1;-;-;-;491
"120025 EPITACIOLANDIA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"120030 FEIJO";20;20;26;65;43;42;49;47;32;26;33;32;29;12;9;9;33;13;11;9;8;7;1;1;2;-;-;-;-;1;-;-;-;580
"120033 MANCIO LIMA";4;4;7;15;2;4;5;3;6;3;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55
"120034 MANOEL URBANO";-;-;-;1;3;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
