state,year,week,T2M,T2M_MAX,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN
AC,2014,1,25.2075,28.137083333333333,91.535,63.553333333333335,17.804166666666667
AC,2014,2,24.26571428571429,26.78333333333333,94.63190476190475,66.40666666666667,15.152380952380954
AC,2014,3,24.698095238095238,27.261904761904763,94.13571428571429,64.94999999999999,15.474285714285713
AC,2014,4,25.012380952380955,27.535238095238096,93.70428571428572,50.18333333333334,16.824285714285715
AC,2014,5,24.735238095238095,27.62142857142857,93.63857142857144,88.00333333333333,16.045238095238094
AC,2014,6,24.642857142857142,27.570476190476192,92.76476190476191,46.06666666666667,15.007142857142856
AC,2014,7,24.73333333333333,27.41952380952381,93.10285714285715,66.65,15.177142857142856
AC,2014,8,24.993333333333332,27.555714285714284,93.30714285714285,51.31666666666666,15.492857142857144
AC,2014,9,25.313333333333333,28.327142857142857,91.94857142857143,55.53,16.261904761904763
AC,2014,10,24.76666666666667,27.194285714285716,94.23809523809523,118.68666666666667,15.306666666666668
AC,2014,11,24.72714285714286,27.16,94.65047619047618,57.94333333333333,16.27809523809524
AC,2014,12,25.03,27.687619047619048,93.44238095238096,77.30666666666667,14.89857142857143
AC,2014,13,24.88952380952381,27.784285714285716,92.5847619047619,42.16,16.59095238095238
AC,2014,14,25.00809523809524,27.77523809523809,92.9252380952381,44.233333333333334,18.005238095238095
AC,2014,15,24.941904761904762,27.707142857142856,92.69190476190477,31.266666666666666,17.935238095238095
AC,2014,16,24.293809523809525,27.617142857142856,90.10761904761905,22.32333333333333,15.213333333333335
AC,2014,17,24.938095238095237,27.75952380952381,93.00142857142858,53.74666666666666,14.603333333333333
AC,2014,18,25.204285714285714,28.04714285714286,93.32809523809523,43.846666666666664,17.226190476190474
AC,2014,19,24.893333333333334,27.916666666666664,92.46142857142857,27.883333333333333,15.231428571428571
AC,2014,20,24.703809523809525,27.20095238095238,94.77285714285713,43.5,15.19095238095238
AC,2014,21,23.104285714285712,26.23333333333333,92.05238095238096,44.99333333333333,15.30904761904762
AC,2014,22,24.053333333333335,27.775714285714287,90.66666666666666,4.88,13.455238095238096
AC,2014,23,25.641428571428573,29.092380952380953,91.01333333333334,11.446666666666665,16.04095238095238
AC,2014,24,24.759999999999998,27.572857142857142,92.51904761904761,29.133333333333333,13.617142857142856
AC,2014,25,22.949047619047615,26.94952380952381,89.55428571428571,0.06,15.685238095238095
AC,2014,26,23.95,27.368571428571425,89.68904761904761,27.706666666666667,15.350952380952382
AC,2014,27,23.487142857142857,27.605238095238096,89.0395238095238,4.763333333333333,17.275238095238098
AC,2014,28,22.777142857142856,26.937619047619048,88.54666666666665,2.27,13.285238095238096
AC,2014,29,24.024761904761906,27.721904761904764,87.42476190476191,4.053333333333334,16.833333333333336
AC,2014,30,23.11190476190476,27.384285714285713,87.57380952380952,7.873333333333333,14.178571428571429
AC,2014,31,24.37047619047619,28.996666666666666,86.97285714285715,0.5166666666666666,19.096666666666668
AC,2014,32,24.07857142857143,28.12285714285714,87.41380952380952,66.65,16.315714285714286
AC,2014,33,23.722380952380952,28.424285714285713,82.89904761904761,9.136666666666668,20.805714285714284
AC,2014,34,25.044761904761906,30.665714285714284,80.00904761904762,0.8466666666666667,20.677142857142858
AC,2014,35,25.67238095238095,30.78095238095238,79.13857142857144,3.1566666666666667,18.240952380952383
AC,2014,36,26.972380952380952,32.55,77.09428571428573,13.406666666666666,20.73428571428571
AC,2014,37,26.664285714285715,31.38047619047619,81.27619047619046,38.67666666666667,17.384761904761906
AC,2014,38,25.66904761904762,29.65380952380952,85.9,48.279999999999994,17.70952380952381
AC,2014,39,26.305714285714284,30.96904761904762,82.65904761904763,23.176666666666666,20.91
AC,2014,40,26.663809523809526,31.093809523809522,82.29285714285713,33.31333333333333,18.62
AC,2014,41,25.656666666666666,29.151904761904763,89.1052380952381,19.986666666666668,18.49047619047619
AC,2014,42,26.74285714285714,31.81714285714286,80.26809523809524,21.62,21.41761904761905
AC,2014,43,26.632857142857144,31.151904761904763,82.06238095238095,39.410000000000004,19.475238095238097
AC,2014,44,26.20190476190476,29.916666666666664,86.00619047619047,47.20333333333333,18.761904761904763
AC,2014,45,26.48904761904762,30.16142857142857,86.44714285714285,22.126666666666665,19.16095238095238
AC,2014,46,25.342857142857145,28.537619047619046,90.0090476190476,81.49666666666667,16.72190476190476
AC,2014,47,25.48095238095238,28.49285714285714,90.76714285714286,44.24333333333334,19.235238095238095
AC,2014,48,25.468095238095238,28.174761904761905,92.0838095238095,51.29,17.851428571428574
AC,2014,49,25.683809523809522,28.740952380952383,91.02,27.133333333333333,17.49285714285714
AC,2014,50,25.303809523809523,28.19238095238095,91.57571428571428,46.69,15.894761904761905
AC,2014,51,25.396190476190476,28.135238095238094,91.85571428571428,37.54666666666667,16.765714285714285
AC,2014,52,25.085238095238093,27.84142857142857,92.89,54.03333333333333,15.43952380952381
AC,2015,1,25.0375,28.004166666666666,91.20666666666668,30.746666666666666,16.070833333333333
AC,2015,2,24.99285714285714,28.218095238095238,90.47714285714287,44.75666666666667,17.391428571428573
AC,2015,3,24.86047619047619,27.559523809523807,92.95190476190476,62.663333333333334,15.65238095238095
AC,2015,4,24.21857142857143,26.724285714285713,94.04904761904763,83.03,16.365714285714287
AC,2015,5,24.523333333333333,27.374761904761904,93.94904761904762,111.75666666666666,15.370476190476191
