DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2025
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Total"
"290490 CACHOEIRA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"290500 CACULE";-;-;1;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;4
"290510 CAEM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"290515 CAETANOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"290520 CAETITE";-;-;2;-;-;4;1;1;12;7;18;11;13;9;5;1;1;-;1;-;86
"290530 CAFARNAUM";-;-;-;-;-;-;-;-;-;-;-;2;-;3;3;2;3;1;-;-;14
"290560 CAMACAN";-;-;-;-;-;-;-;1;1;-;1;-;2;-;-;-;-;-;-;-;5
"290570 CAMACARI";2;-;-;3;3;-;2;5;-;2;1;-;1;-;-;-;-;-;2;-;21
"290580 CAMAMU";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"290610 CANAPOLIS";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"290620 CANARANA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2
"290630 CANAVIEIRAS";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"290650 CANDEIAS";-;-;-;1;-;-;-;1;-;2;1;1;2;3;2;2;1;1;1;-;18
"290660 CANDIBA";1;-;-;-;-;1;-;-;-;-;-;-;2;1;-;-;2;-;-;-;7
"290670 CANDIDO SALES";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;2;-;-;-;-;4
"290680 CANSANCAO";2;-;2;2;6;2;4;10;8;3;3;1;1;3;1;-;-;-;-;-;48
"290687 CAPIM GROSSO";-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;3
"290689 CARAIBAS";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290690 CARAVELAS";-;-;2;5;4;5;3;2;4;5;2;1;1;1;2;2;2;3;3;2;49
"290700 CARDEAL DA SILVA";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;3
"290710 CARINHANHA";2;2;6;3;13;9;8;3;1;2;9;6;5;6;11;-;2;5;1;1;95
"290720 CASA NOVA";-;-;-;-;-;-;-;-;-;-;1;1;2;-;-;-;-;1;-;-;5
"290750 CATU";-;-;-;-;-;3;1;-;2;-;-;-;1;-;2;-;1;2;-;-;12
"290760 CENTRAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"290770 CHORROCHO";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"290800 COARACI";2;-;1;3;-;-;-;1;-;-;3;4;5;-;3;-;1;-;-;-;23
"290830 CONCEICAO DO ALMEIDA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"290840 CONCEICAO DO COITE";-;-;-;-;-;-;3;-;1;1;2;-;-;7;11;-;-;-;-;-;25
"290870 CONDEUBA";-;-;-;1;1;16;8;2;3;-;-;1;2;2;8;5;4;7;-;-;60
"290880 CONTENDAS DO SINCORA";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"290890 CORACAO DE MARIA";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"290900 CORDEIROS";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290910 CORIBE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"290930 CORRENTINA";-;-;-;-;-;4;1;4;-;1;-;2;1;-;-;-;-;-;-;-;13
"290940 COTEGIPE";-;-;-;-;-;-;-;-;-;-;1;-;1;2;1;-;2;-;-;-;7
"290980 CRUZ DAS ALMAS";-;-;-;1;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"290990 CURACA";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"291000 DARIO MEIRA";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;2;1;-;-;6
"291005 DIAS D'AVILA";-;-;-;-;-;-;-;-;-;-;2;1;1;1;-;-;-;-;-;-;5
"291010 DOM BASILIO";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;1;2;2;9
"291040 ENCRUZILHADA";1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"291060 ESPLANADA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"291070 EUCLIDES DA CUNHA";-;-;1;2;-;-;1;-;1;2;-;-;-;1;4;-;1;-;-;1;14
"291072 EUNAPOLIS";1;2;7;-;1;1;5;2;4;14;17;10;16;10;14;15;32;16;9;11;187
"291075 FATIMA";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291080 FEIRA DE SANTANA";-;2;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"291100 FLORESTA AZUL";-;-;-;1;1;1;-;-;-;1;2;6;17;25;4;1;1;-;-;-;60
"291110 FORMOSA DO RIO PRETO";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"291120 GANDU";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"291125 GAVIAO";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"291130 GENTIO DO OURO";-;2;2;2;3;3;7;2;1;2;1;-;-;2;2;3;3;7;1;1;44
"291150 GONGOGI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"291160 GOVERNADOR MANGABEIRA";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;2
"291165 GUAJERU";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291170 GUANAMBI";-;-;-;1;1;1;7;-;-;-;1;1;1;-;-;1;1;1;1;-;17
"291180 GUARATINGA";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"291200 IBIASSUCE";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"291210 IBICARAI";-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;2;-;3;1;-;9
"291220 IBICOARA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"291230 IBICUI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2
"291240 IBIPEBA";-;-;-;-;-;1;-;1;1;-;1;-;-;-;-;-;-;-;-;-;4
"291250 IBIPITANGA";-;-;-;-;-;-;2;-;-;-;1;-;1;-;1;-;-;-;-;2;7
"291270 IBIRAPITANGA";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"291280 IBIRAPUA";3;-;-;-;-;-;-;1;-;1;1;1;-;-;-;-;-;-;-;-;7
"291300 IBITIARA";-;-;-;-;2;-;-;1;-;-;-;-;1;2;-;-;-;2;1;-;9
"291310 IBITITA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"291320 IBOTIRAMA";1;-;-;1;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;5
"291340 IGAPORA";-;-;-;-;-;2;-;-;-;-;1;-;-;-;1;-;-;1;-;-;5
"291345 IGRAPIUNA";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"291350 IGUAI";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;2
"291360 ILHEUS";44;7;8;5;4;10;16;14;18;33;23;29;27;43;23;11;21;27;2;-;365
"291400 IPIRA";-;2;-;1;2;-;1;-;1;1;-;1;-;2;2;-;1;-;-;-;14
"291410 IPUPIARA";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"291420 IRAJUBA";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;3
"291440 IRAQUARA";-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;2;2;-;6
"291450 IRARA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"291460 IRECE";7;9;7;9;2;4;4;10;10;5;4;7;1;10;8;6;17;14;16;7;157
"291465 ITABELA";1;-;1;-;-;1;1;1;1;-;2;-;-;1;-;1;-;-;-;-;10
"291470 ITABERABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"291480 ITABUNA";34;39;32;35;35;35;50;50;58;63;83;69;73;84;78;43;75;35;6;-;977
"291490 ITACARE";1;-;-;-;-;-;1;-;-;1;-;1;2;-;-;-;1;-;1;1;9
"291530 ITAGIMIRIM";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;2
"291535 ITAGUACU DA BAHIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;3
"291550 ITAJUIPE";-;1;1;2;1;2;-;1;1;-;2;3;3;5;4;5;2;1;-;-;34
"291560 ITAMARAJU";-;-;-;-;-;1;-;1;1;2;-;4;2;1;-;1;-;-;-;-;13
"291570 ITAMARI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"291580 ITAMBE";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291600 ITANHEM";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;2;-;4
"291620 ITAPE";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;2
"291630 ITAPEBI";-;-;-;-;1;-;-;-;-;2;4;3;1;-;-;-;-;-;-;-;11
"291640 ITAPETINGA";-;-;-;2;1;1;3;2;1;1;2;1;3;2;-;1;-;-;1;-;21
"291650 ITAPICURU";-;-;-;-;-;-;2;-;2;-;-;1;-;-;1;-;-;1;-;-;7
"291660 ITAPITANGA";-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;3
"291680 ITARANTIM";-;-;-;1;2;3;4;2;1;-;-;-;1;6;13;4;6;-;-;-;43
"291710 ITORORO";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"291720 ITUACU";-;-;-;-;-;1;2;2;2;-;2;1;-;-;-;-;-;-;-;-;10
"291730 ITUBERA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;4
"291733 IUIU";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;2;-;-;5
"291735 JABORANDI";-;-;-;-;1;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;4
"291740 JACARACI";-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"291750 JACOBINA";1;2;-;1;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;7
"291760 JAGUAQUARA";2;1;3;5;3;3;10;8;8;11;6;10;17;18;15;25;22;15;9;-;191
"291770 JAGUARARI";-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"291800 JEQUIE";-;1;-;2;-;-;2;-;1;2;2;-;1;6;7;5;4;1;-;-;34
"291820 JIQUIRICA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"291835 JOAO DOURADO";-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;1;-;-;-;4
"291840 JUAZEIRO";1;-;-;-;-;-;1;2;1;-;1;1;-;-;-;-;1;-;-;-;8
"291845 JUCURUCU";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;2
"291855 JUSSARI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2
"291860 JUSSIAPE";-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"291875 LAGOA REAL";-;-;-;-;-;1;1;-;-;-;1;1;-;-;-;-;-;1;-;-;5
"291900 LAJEDINHO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"291910 LAMARAO";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291915 LAPAO";1;-;1;-;-;-;-;-;-;-;-;1;-;3;-;1;-;-;-;-;7
"291920 LAURO DE FREITAS";-;-;-;-;-;1;1;1;2;1;1;1;-;2;1;-;1;1;-;-;13
"291930 LENCOIS";-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"291940 LICINIO DE ALMEIDA";-;6;2;2;4;3;1;3;1;3;4;1;1;4;1;2;1;2;-;-;41
"291950 LIVRAMENTO DE NOSSA SENHORA";-;-;2;1;1;1;-;-;-;1;1;2;-;-;3;10;6;6;3;-;37
"291955 LUIS EDUARDO MAGALHAES";-;1;1;1;3;3;4;3;1;1;4;4;3;1;-;2;7;1;3;-;43
"291970 MACARANI";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291980 MACAUBAS";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"291995 MAETINGA";1;-;-;-;-;-;-;-;-;-;-;2;1;-;-;1;-;-;-;-;5
"292000 MAIQUINIQUE";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"292010 MAIRI";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"292020 MALHADA";-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"292040 MANOEL VITORINO";-;-;-;-;-;1;-;2;-;3;1;5;1;-;-;1;-;-;-;-;14
"292045 MANSIDAO";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"292050 MARACAS";1;-;-;-;-;1;1;-;-;1;2;-;-;-;-;1;-;-;-;-;7
"292060 MARAGOGIPE";-;-;-;-;1;1;-;1;-;1;1;1;-;-;-;1;-;-;-;-;7
"292070 MARAU";-;-;-;-;-;-;-;-;-;1;-;1;1;1;-;2;-;-;-;-;6
"292090 MASCOTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"292100 MATA DE SAO JOAO";-;-;-;-;-;1;-;-;-;-;1;1;1;-;-;-;-;-;-;-;4
"292105 MATINA";1;2;1;1;-;2;-;2;-;-;-;-;-;-;1;-;1;-;2;-;13
"292140 MIRANGABA";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2
"292145 MIRANTE";-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;1;-;1;-;5
"292150 MONTE SANTO";-;-;1;7;4;5;2;1;-;-;-;-;-;-;-;-;-;-;-;-;20
"292160 MORPARA";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;2
"292170 MORRO DO CHAPEU";-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;2
"292190 MUCUGE";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"292200 MUCURI";12;13;7;10;17;16;15;19;18;8;18;5;5;16;16;7;6;1;-;-;209
"292205 MULUNGU DO MORRO";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"292225 MUQUEM DE SAO FRANCISCO";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"292230 MURITIBA";-;-;-;-;-;-;1;1;-;-;-;2;-;-;1;-;1;1;-;-;7
"292240 MUTUIPE";-;-;-;-;-;-;-;2;-;-;-;-;-;-;2;-;-;-;-;-;4
"292250 NAZARE";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"292260 NILO PECANHA";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"292265 NORDESTINA";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"292270 NOVA CANAA";2;8;2;1;4;1;1;-;-;-;-;-;3;-;-;-;-;-;-;-;22
"292275 NOVA IBIA";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"292280 NOVA ITARANA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"292300 NOVA VICOSA";-;2;-;-;-;1;1;-;-;-;-;-;1;-;-;1;1;-;-;-;7
"292303 NOVO HORIZONTE";-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"292320 OLIVEIRA DOS BREJINHOS";1;-;-;-;-;-;3;-;-;2;-;-;-;-;-;-;-;-;-;-;6
"292335 OUROLANDIA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"292340 PALMAS DE MONTE ALTO";-;3;1;-;3;3;7;3;8;6;5;7;2;-;-;-;-;-;-;-;48
"292350 PALMEIRAS";-;-;-;-;-;-;1;1;1;1;-;-;-;-;-;-;-;-;1;-;5
"292360 PARAMIRIM";1;1;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"292370 PARATINGA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"292380 PARIPIRANGA";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"292390 PAU BRASIL";-;-;-;-;-;-;3;4;4;2;1;5;23;19;10;1;2;7;1;1;83
"292400 PAULO AFONSO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"292405 PE DE SERRA";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"292450 PINDAI";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;2
"292465 PINTADAS";-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;3
"292470 PIRIPA";-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;1;2;-;2;-;8
"292510 POCOES";-;-;-;-;-;-;-;-;2;-;1;2;-;1;-;-;-;-;-;-;6
"292520 POJUCA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2
"292530 PORTO SEGURO";1;-;-;1;1;-;1;-;-;-;1;3;-;1;2;3;1;-;1;-;16
"292575 PRESIDENTE TANCREDO NEVES";-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;4
"292580 QUEIMADAS";-;1;2;-;2;-;-;1;2;5;5;10;9;12;12;8;6;2;-;-;77
"292590 QUIJINGUE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"292593 QUIXABEIRA";-;-;-;-;-;-;-;1;1;2;2;2;-;-;-;-;-;-;-;-;8
"292595 RAFAEL JAMBEIRO";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;6
"292600 REMANSO";-;1;-;1;2;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;7
"292610 RETIROLANDIA";3;1;3;9;7;2;11;5;11;9;13;20;10;12;14;35;15;6;1;-;187
"292620 RIACHAO DAS NEVES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"292630 RIACHAO DO JACUIPE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"292640 RIACHO DE SANTANA";-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"292665 RIBEIRAO DO LARGO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"292670 RIO DE CONTAS";-;-;-;-;-;-;-;-;-;1;-;-;-;3;1;-;-;-;-;-;5
"292680 RIO DO ANTONIO";1;-;-;2;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;6
"292690 RIO DO PIRES";-;-;-;-;-;1;2;10;5;1;6;5;1;1;2;-;1;-;-;-;35
"292700 RIO REAL";1;1;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;5
"292720 RUY BARBOSA";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"292740 SALVADOR";7;17;13;6;15;10;12;15;11;8;7;4;16;34;15;26;34;13;16;6;285
"292780 SANTA CRUZ DA VITORIA";-;-;-;-;4;-;4;2;1;1;2;2;1;-;2;-;-;-;-;-;19
"292800 SANTALUZ";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"292805 SANTA LUZIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"292810 SANTA MARIA DA VITORIA";-;7;6;2;2;11;5;4;4;3;11;6;9;7;5;7;6;6;1;-;102
"292820 SANTANA";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"292840 SANTA RITA DE CASSIA";-;-;1;-;1;1;2;-;1;1;-;-;1;1;-;2;-;3;1;-;15
"292870 SANTO ANTONIO DE JESUS";1;-;-;1;-;-;1;1;-;1;2;-;-;1;1;4;-;-;1;-;14
"292880 SANTO ESTEVAO";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"292890 SAO DESIDERIO";3;3;3;2;-;-;1;3;2;2;2;3;5;2;2;-;1;-;-;-;34
"292895 SAO DOMINGOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"292900 SAO FELIX";-;1;-;-;1;1;4;1;-;-;-;-;1;-;-;-;-;-;1;1;11
"292905 SAO FELIX DO CORIBE";-;-;-;-;-;1;2;1;1;1;-;-;-;-;2;-;-;-;1;-;9
"292910 SAO FELIPE";-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;1;1;-;-;5
"292920 SAO FRANCISCO DO CONDE";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"292925 SAO GABRIEL";-;-;2;1;-;-;1;-;-;-;-;-;-;-;-;-;1;1;4;-;10
"292930 SAO GONCALO DOS CAMPOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"292935 SAO JOSE DA VITORIA";-;-;-;-;-;-;-;-;-;-;-;2;-;1;2;-;-;-;-;-;5
"292940 SAO MIGUEL DAS MATAS";-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;3
"292950 SAO SEBASTIAO DO PASSE";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;2
"292960 SAPEACU";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"292990 SEABRA";1;1;2;4;6;6;3;2;3;5;5;4;3;3;3;5;2;3;3;-;64
"293000 SEBASTIAO LARANJEIRAS";-;1;-;-;-;-;-;1;-;1;-;3;2;2;1;1;-;-;-;-;12
"293010 SENHOR DO BONFIM";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;2
"293015 SERRA DO RAMALHO";-;-;-;-;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"293020 SENTO SE";2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"293030 SERRA DOURADA";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;2
"293050 SERRINHA";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"293060 SERROLANDIA";1;4;2;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"293070 SIMOES FILHO";-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;3
"293076 SITIO DO QUINTO";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"293080 SOUTO SOARES";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"293090 TABOCAS DO BREJO VELHO";-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;3
"293100 TANHACU";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"293105 TANQUE NOVO";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"293135 TEIXEIRA DE FREITAS";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"293140 TEODORO SAMPAIO";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"293180 TREMEDAL";1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;2;-;-;-;-;5
"293190 TUCANO";-;-;-;-;1;-;-;2;-;1;-;3;2;-;-;-;2;1;-;-;12
"293200 UAUA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"293210 UBAIRA";-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;3
"293220 UBAITABA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"293240 UIBAI";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;2
"293250 UNA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2
"293260 URANDI";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"293280 UTINGA";-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"293290 VALENCA";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;2
"293300 VALENTE";-;-;-;-;-;-;2;-;-;1;2;1;-;1;-;-;-;-;-;-;7
"293305 VARZEA DA ROCA";-;-;-;1;2;1;1;3;4;8;2;-;1;1;-;-;-;4;-;-;28
"293315 VARZEA NOVA";-;-;2;1;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;6
"293320 VERA CRUZ";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"293330 VITORIA DA CONQUISTA";10;1;18;31;12;11;10;8;5;4;6;4;4;15;10;4;6;8;5;-;172
"293340 WAGNER";-;-;1;-;4;2;8;20;21;17;16;11;2;4;3;2;1;-;-;-;112
"293345 WANDERLEY";-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"293350 WENCESLAU GUIMARAES";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"293360 XIQUE-XIQUE";2;-;-;1;-;-;3;4;1;1;3;-;2;-;1;-;-;-;-;-;18
"310010 ABADIA DOS DOURADOS";-;-;1;4;-;1;3;1;9;5;12;7;5;8;9;9;3;4;-;-;81
"310030 ABRE CAMPO";-;-;-;-;-;1;-;2;1;-;2;5;2;3;-;2;3;2;2;-;25
"310040 ACAIACA";2;1;6;1;6;14;20;20;9;6;3;7;-;-;2;1;-;-;-;-;98
"310050 ACUCENA";-;1;-;-;-;-;-;-;1;1;-;1;-;-;1;-;-;-;-;-;5
"310060 AGUA BOA";-;-;-;2;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;6
"310070 AGUA COMPRIDA";-;-;1;-;1;4;7;6;4;8;11;25;26;32;32;18;28;21;4;-;228
"310080 AGUANIL";1;-;-;-;-;-;-;-;-;1;-;-;1;4;6;1;1;-;-;-;15
"310100 AGUAS VERMELHAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
