state,year,week,T2M,T2M_MAX,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN
AC,2024,1,27.125925925925927,31.29703703703704,82.40407407407407,41.68,17.081111111111113
AC,2024,2,27.74952380952381,32.8352380952381,77.93285714285715,19.64,17.81904761904762
AC,2024,3,27.62142857142857,32.45095238095238,81.11095238095238,42.04,17.513333333333332
AC,2024,4,28.12714285714286,33.180952380952384,78.71857142857142,21.613333333333333,17.759047619047617
AC,2024,5,27.231428571428573,31.511428571428574,84.59190476190476,54.983333333333334,17.471904761904764
AC,2024,6,27.858571428571427,33.17238095238095,78.80952380952381,18.723333333333333,20.00761904761905
AC,2024,7,27.14952380952381,31.31761904761905,84.9547619047619,45.50333333333333,17.982380952380954
AC,2024,8,26.173333333333336,29.09238095238095,91.19666666666667,88.95666666666666,14.199523809523809
AC,2024,9,25.83142857142857,29.35571428571429,89.2895238095238,35.97666666666667,16.25761904761905
AC,2024,10,26.859047619047622,30.71857142857143,87.36714285714287,24.926666666666666,18.66142857142857
AC,2024,11,27.612380952380953,31.584761904761905,85.81523809523809,35.983333333333334,20.29095238095238
AC,2024,12,27.068571428571428,31.114285714285717,84.95190476190476,16.19,18.550000000000004
AC,2024,13,27.488095238095237,31.663809523809526,81.7695238095238,8.883333333333333,19.17666666666667
AC,2024,14,27.358571428571427,32.1447619047619,81.27047619047619,25.04,17.596666666666668
AC,2024,15,27.736190476190476,32.537619047619046,81.22238095238095,17.48,17.853809523809524
AC,2024,16,27.277619047619048,31.67190476190476,82.53095238095239,19.043333333333333,15.725238095238096
AC,2024,17,27.73952380952381,32.71333333333333,80.36857142857141,14.07,17.035238095238096
AC,2024,18,28.05857142857143,33.32285714285714,79.35761904761905,15.8,18.830000000000002
AC,2024,19,28.753809523809526,34.76047619047619,75.69047619047619,10.983333333333333,18.15047619047619
AC,2024,20,27.54047619047619,33.45142857142857,72.30047619047619,3.0966666666666667,12.517142857142858
AC,2024,21,27.63904761904762,33.77047619047619,69.9447619047619,10.256666666666668,14.227619047619047
AC,2024,22,24.75190476190476,32.38142857142857,67.62142857142858,2.8466666666666667,16.052380952380954
AC,2024,23,28.009047619047617,35.26,62.58095238095238,1.1,18.38714285714286
AC,2024,24,29.39095238095238,36.133809523809525,61.586666666666666,1.1166666666666667,18.082857142857144
AC,2024,25,29.54666666666667,36.36047619047619,58.34476190476191,0.8666666666666668,17.985714285714288
AC,2024,26,29.047619047619047,35.78619047619048,59.22904761904762,6.623333333333333,16.70952380952381
AC,2024,27,27.83142857142857,34.953809523809525,59.518095238095235,9.403333333333332,17.142857142857142
AC,2024,28,27.535238095238096,34.3447619047619,54.50095238095238,0.26,18.788095238095234
AC,2024,29,26.91904761904762,35.1347619047619,43.72714285714286,0.61,20.650952380952383
AC,2024,30,29.781904761904762,37.89380952380952,38.97428571428571,0.11666666666666667,18.695714285714285
AC,2024,31,30.03095238095238,37.54904761904762,38.67952380952381,1.1033333333333333,18.28142857142857
AC,2024,32,28.433333333333334,35.13666666666666,53.3652380952381,8.3,15.795238095238094
AC,2024,33,29.09952380952381,36.83047619047619,40.864761904761906,0.016666666666666666,18.350952380952382
AC,2024,34,32.251428571428576,38.744285714285716,38.264761904761905,0.8433333333333334,17.682380952380953
AC,2024,35,29.892857142857142,37.19714285714286,34.52619047619048,0.01,19.25095238095238
AC,2024,36,30.21238095238095,37.46809523809524,45.29571428571428,6.283333333333332,16.323333333333334
AC,2024,37,31.900000000000002,39.05,43.28809523809524,5.423333333333334,17.282857142857143
AC,2024,38,32.233333333333334,38.90761904761905,41.774761904761895,0.7166666666666667,18.060952380952383
AC,2024,39,32.4847619047619,38.77619047619048,44.66619047619048,6.64,15.508571428571429
AC,2024,40,32.45857142857143,38.853809523809524,45.25904761904762,9.343333333333334,17.979047619047616
AC,2024,41,31.764761904761908,37.869523809523805,54.25809523809524,13.616666666666665,17.72952380952381
AC,2024,42,31.9147619047619,38.824285714285715,52.87571428571429,54.593333333333334,20.845238095238095
AC,2024,43,28.43142857142857,32.88666666666667,76.93190476190476,33.21,16.44238095238095
AC,2024,44,30.26571428571429,36.371904761904766,63.31142857142857,8.686666666666667,18.872857142857146
AC,2024,45,29.703333333333337,35.72666666666667,65.47571428571429,25.666666666666664,18.27190476190476
AC,2024,46,28.572857142857146,34.15238095238095,71.62380952380953,58.333333333333336,16.262857142857143
AC,2024,47,26.822857142857142,30.766190476190477,84.11619047619047,36.306666666666665,17.70047619047619
AC,2024,48,28.599047619047617,34.020476190476195,74.40761904761905,26.293333333333333,15.411904761904761
AC,2024,49,29.046190476190475,34.87761904761904,71.38095238095238,31.673333333333332,14.793333333333333
AC,2024,50,28.672857142857143,34.30571428571428,72.68857142857142,25.046666666666667,-31.979047619047623
AC,2024,51,27.112380952380953,31.687619047619048,81.05761904761904,32.879999999999995,17.756190476190476
AC,2024,52,27.47809523809524,32.46952380952381,76.79380952380951,30.643333333333334,17.06190476190476
AC,2025,1,26.974666666666668,32.114,80.172,12.616666666666667,16.908666666666665
AC,2025,2,26.683809523809522,31.11095238095238,83.05333333333333,29.16,15.624285714285715
AC,2025,3,27.650000000000002,32.82619047619048,74.48428571428572,11.523333333333333,17.169999999999998
AC,2025,4,26.55047619047619,31.812380952380952,77.51904761904761,30.416666666666668,14.823809523809524
AC,2025,5,27.79285714285714,33.36238095238095,75.55714285714285,29.173333333333332,20.346666666666668
AC,2025,6,26.96857142857143,31.878571428571426,80.4452380952381,60.20666666666667,15.092380952380953
