Região|UF|Município	UF	Ano/Semana	Casos prováveis de Dengue.
Sul	Rio Grande Do Sul	2025/04	216
Sul	Rio Grande Do Sul	2025/05	223
Sul	Rio Grande Do Sul	2025/06	271
Sul	Rio Grande Do Sul	2025/07	387
Sul	Rio Grande Do Sul	2025/08	649
Sul	Rio Grande Do Sul	2025/09	825
Sul	Rio Grande Do Sul	2025/10	1.159
Sul	Rio Grande Do Sul	2025/11	2.156
Sul	Rio Grande Do Sul	2025/12	2.793
Sul	Rio Grande Do Sul	2025/13	4.939
Sul	Rio Grande Do Sul	2025/14	7.225
Sul	Rio Grande Do Sul	2025/15	7.305
Sul	Rio Grande Do Sul	2025/16	7.426
Sul	Rio Grande Do Sul	2025/17	9.459
Sul	Rio Grande Do Sul	2025/18	8.311
Sul	Rio Grande Do Sul	2025/19	8.606
Sul	Rio Grande Do Sul	2025/20	8.570
Sul	Parana	2024/01	5.445
Sul	Parana	2024/02	7.036
Sul	Parana	2024/03	9.657
Sul	Parana	2024/04	11.740
Sul	Parana	2024/05	12.086
Sul	Parana	2024/06	15.127
Sul	Parana	2024/07	20.347
Sul	Parana	2024/08	24.529
Sul	Parana	2024/09	26.562
Sul	Parana	2024/10	32.683
Sul	Parana	2024/11	38.080
Sul	Parana	2024/12	43.672
Sul	Parana	2024/13	42.292
Sul	Parana	2024/14	46.102
Sul	Parana	2024/15	45.053
Sul	Parana	2024/16	44.323
Sul	Parana	2024/17	34.781
Sul	Parana	2024/18	37.205
Sul	Parana	2024/19	39.567
Sul	Parana	2024/20	33.185
Sul	Parana	2024/21	21.151
Sul	Parana	2024/22	12.256
Sul	Parana	2024/23	7.645
Sul	Parana	2024/24	8.227
Sul	Parana	2024/25	6.698
Sul	Parana	2024/26	4.213
Sul	Parana	2024/27	2.645
Sul	Parana	2024/28	1.312
Sul	Parana	2024/29	1.037
Sul	Parana	2024/30	1.098
Sul	Parana	2024/31	857
Sul	Parana	2024/32	667
Sul	Parana	2024/33	494
Sul	Parana	2024/34	493
Sul	Parana	2024/35	373
Sul	Parana	2024/36	464
Sul	Parana	2024/37	508
Sul	Parana	2024/38	451
Sul	Parana	2024/39	490
Sul	Parana	2024/40	477
Sul	Parana	2024/41	425
Sul	Parana	2024/42	486
Sul	Parana	2024/43	522
Sul	Parana	2024/44	591
Sul	Parana	2024/45	538
Sul	Parana	2024/46	587
Sul	Parana	2024/47	704
Sul	Parana	2024/48	700
Sul	Parana	2024/49	711
Sul	Parana	2024/50	757
Sul	Parana	2024/51	740
Sul	Parana	2024/52	518
Sul	Parana	2025/01	1.106
Sul	Parana	2025/02	1.370
Sul	Parana	2025/03	1.625
Sul	Parana	2025/04	2.000
Sul	Parana	2025/05	2.211
Sul	Parana	2025/06	2.433
Sul	Parana	2025/07	3.567
Sul	Parana	2025/08	4.666
Sul	Parana	2025/09	5.165
Sul	Parana	2025/10	6.160
Sul	Parana	2025/11	7.267
Sul	Parana	2025/12	8.075
Sul	Parana	2025/13	8.790
Sul	Parana	2025/14	9.490
Sul	Parana	2025/15	8.521
Sul	Parana	2025/16	6.943
Sul	Parana	2025/17	7.838
Sul	Parana	2025/18	7.030
Sul	Parana	2025/19	7.645
Sul	Parana	2025/20	6.836
Sudeste	Sao Paulo	2024/01	7.207
Sudeste	Sao Paulo	2024/02	9.072
Sudeste	Sao Paulo	2024/03	13.377
Sudeste	Sao Paulo	2024/04	19.149
Sudeste	Sao Paulo	2024/05	23.087
Sudeste	Sao Paulo	2024/06	31.277
Sudeste	Sao Paulo	2024/07	43.734
Sudeste	Sao Paulo	2024/08	55.093
Sudeste	Sao Paulo	2024/09	69.459
Sudeste	Sao Paulo	2024/10	82.760
Sudeste	Sao Paulo	2024/11	98.654
Sudeste	Sao Paulo	2024/12	129.646
Sudeste	Sao Paulo	2024/13	122.536
Sudeste	Sao Paulo	2024/14	138.549
Sudeste	Sao Paulo	2024/15	153.934
Sudeste	Sao Paulo	2024/16	146.806
Sudeste	Sao Paulo	2024/17	140.082
Sudeste	Sao Paulo	2024/18	145.041
Sudeste	Sao Paulo	2024/19	156.246
Sudeste	Sao Paulo	2024/20	145.856
Sudeste	Sao Paulo	2024/21	108.817
Sudeste	Sao Paulo	2024/22	68.882
Sudeste	Sao Paulo	2024/23	44.498
Sudeste	Sao Paulo	2024/24	40.944
Sudeste	Sao Paulo	2024/25	33.240
Sudeste	Sao Paulo	2024/26	22.412
Sudeste	Sao Paulo	2024/27	14.531
Sudeste	Sao Paulo	2024/28	9.876
Sudeste	Sao Paulo	2024/29	7.438
Sudeste	Sao Paulo	2024/30	6.257
Sudeste	Sao Paulo	2024/31	5.291
Sudeste	Sao Paulo	2024/32	4.272
Sudeste	Sao Paulo	2024/33	3.679
Sudeste	Sao Paulo	2024/34	3.263
Sudeste	Sao Paulo	2024/35	2.826
